,PINCP
145597,True
52950,True
21252,True
152383,False
181289,True
25134,False
29609,False
52706,False
32266,False
63513,False
79771,False
126001,False
164237,False
124241,True
96815,False
185769,False
2436,False
169105,True
23959,False
683,False
10915,True
20240,True
42662,False
87940,False
128569,False
91818,True
87106,False
114309,False
127785,False
47655,True
60128,True
136111,False
87845,True
193928,False
142689,False
104884,False
16484,False
184506,False
167608,False
104011,False
187085,False
40326,False
73727,False
152986,False
155426,True
107140,False
182140,True
12986,False
142155,True
162768,False
40970,True
150390,False
67544,True
28069,True
64953,False
140135,False
66577,True
172617,True
98811,False
135604,False
182185,False
172967,False
170543,False
184859,True
6392,True
191828,False
57920,False
178094,True
184101,True
155686,True
3512,False
28403,False
122681,False
34817,True
160640,True
157680,False
11635,False
169063,True
57130,False
163833,True
86374,False
134605,False
104485,False
62193,False
105008,True
154509,False
25578,False
130255,False
154373,True
112365,True
66140,True
180281,False
110379,False
135104,False
53203,True
11183,True
119412,False
34644,True
69231,False
193900,True
8139,True
32576,False
97099,False
11488,False
74970,False
48616,False
143035,False
75937,False
44782,False
30076,True
141386,False
34849,True
38556,False
98117,True
40130,False
142200,False
156977,False
45049,False
190848,False
161048,False
118858,False
46640,False
61352,False
37456,True
134683,False
56748,True
14729,False
135887,True
14288,False
168537,False
170055,False
80174,True
143064,False
105415,False
49485,False
4711,True
75096,False
1656,False
11262,True
37417,False
111544,False
30846,True
41352,True
22249,False
173003,True
23258,False
63954,False
58316,False
77465,True
146327,True
53644,False
61634,True
130678,False
170357,False
164083,True
168559,False
121854,True
161407,False
173385,False
110361,True
35443,True
169122,False
96873,True
56559,True
28973,False
176690,False
190295,False
53067,False
91990,True
99454,True
47750,True
155166,False
150200,False
178795,True
166865,False
97985,True
119664,True
114631,False
48852,True
144910,False
40345,True
40436,True
60211,False
57197,False
63344,False
34057,False
186733,True
187452,False
31906,True
164038,False
50206,False
180650,False
91690,False
153620,True
101295,True
88541,True
59350,True
146793,False
135189,False
8592,False
2303,False
95302,True
48000,True
161970,True
165439,True
183025,False
76856,True
51204,True
14869,True
182899,False
155394,True
134121,True
78961,False
8090,False
180621,False
34515,False
47595,False
143009,False
189991,True
129605,False
68955,False
52305,True
19477,False
176172,True
48952,True
22293,False
167865,False
105764,False
173852,True
143430,False
65758,True
140153,False
175397,False
74209,False
156718,False
26159,False
64318,False
70518,True
57276,False
158327,False
59085,True
22124,True
49169,False
114459,True
55935,True
49542,False
59466,True
189316,False
112962,True
804,False
131467,True
20646,False
104568,True
117309,False
116201,True
96925,False
188593,False
142940,True
12320,True
137294,True
121140,True
126903,False
7822,False
37708,False
151571,False
162056,True
53478,False
120095,True
159112,True
74387,True
7479,True
80538,True
32315,False
192527,True
43793,False
109326,True
8389,True
81847,False
109821,True
121826,True
11178,False
157059,False
166839,False
163941,True
192123,False
132577,False
29015,True
125504,False
75955,False
60243,False
153592,False
142518,False
79387,True
118664,True
104864,False
155940,False
51779,True
105191,True
20536,False
116551,False
53315,False
192272,True
27193,True
12758,False
38837,False
12348,True
73530,True
177630,False
189741,True
34770,False
16874,False
155175,False
7245,True
103932,True
33153,False
15573,False
70498,True
62949,True
158252,False
187679,False
73584,True
11565,True
157146,True
55517,False
124141,True
111270,True
141015,False
30479,True
51802,False
50420,False
8907,True
189927,True
84042,True
140853,False
44633,True
40292,True
114533,False
4188,False
131838,False
151656,False
149022,True
86349,False
39283,False
75035,True
105427,False
30579,False
14127,False
10094,False
164568,True
41284,True
169560,True
114498,True
82425,True
23944,False
116645,True
83318,False
55861,True
78871,False
95171,True
142435,False
175342,True
116476,False
16152,True
150335,False
18162,True
64583,False
58250,False
164667,True
102039,False
104933,False
17853,False
95225,False
64810,False
93228,False
14376,False
67383,True
81870,False
123136,True
3249,False
9949,False
149406,True
175095,True
5523,True
106644,True
60963,True
29951,False
16229,False
112781,False
65451,False
187431,False
3017,False
158448,False
65261,False
93846,False
17188,True
117050,True
119964,False
59081,True
109128,False
136152,False
175959,False
169740,True
9581,False
140102,True
23448,False
98410,True
92481,False
106660,False
82707,False
89426,False
14499,True
81945,True
103669,False
100647,True
95637,True
420,False
142864,False
82635,True
154611,True
127024,True
135191,False
178504,True
21112,True
21106,True
30356,False
146492,True
44522,False
98843,False
168534,False
169238,False
9097,True
61223,False
80369,False
2199,True
82665,False
5517,True
191683,False
53532,False
138425,False
12787,False
13200,False
153687,True
63878,True
60387,True
18991,False
120244,True
52780,False
43626,True
86749,False
178468,False
34604,False
162832,False
10808,True
88763,True
54050,False
55548,False
119538,False
195063,False
147479,True
140448,False
151213,False
2465,False
193078,True
39811,True
55191,True
147349,True
75240,True
129475,False
101992,False
166167,False
133154,True
126128,False
122031,False
44300,False
112509,False
100642,False
90468,True
101230,True
3913,False
49369,False
28205,False
121483,False
56812,False
96687,True
68033,False
25438,False
24745,False
64308,False
100475,True
76405,True
59129,True
89100,True
22931,False
131005,False
96201,True
140428,False
177596,False
123876,True
31607,True
123466,False
160405,True
120919,False
23195,True
172991,False
151711,True
180548,False
78147,False
92752,True
171294,False
190940,False
15864,False
158850,True
156724,False
62518,False
76241,True
121323,False
74476,False
87305,True
112871,True
145167,True
195265,True
98764,False
190509,False
84443,True
156694,False
28270,False
63958,False
20141,False
191579,False
169314,False
93168,True
112788,True
16507,False
153616,True
168042,True
144375,False
191532,False
194529,True
34159,False
71102,True
145069,False
182951,False
144224,True
92922,True
40329,False
22474,False
4086,False
115646,False
58237,False
169811,True
24554,False
194566,True
164035,False
18471,False
93955,True
149495,True
129082,False
152549,False
152338,True
61751,False
71073,True
150731,False
42395,True
192368,False
96063,False
89357,True
10463,True
87854,False
30487,False
137097,False
176170,False
22103,False
195124,False
152012,True
16465,True
7421,False
46579,False
190577,True
157349,False
161,False
21787,True
26245,False
186133,False
81555,False
33134,False
99216,False
186142,False
93702,True
142122,False
137627,False
65105,False
17402,False
62328,False
121010,False
124152,False
179884,True
87213,True
154763,False
131686,True
176490,True
184021,False
131650,False
123298,False
141364,False
145486,False
134578,True
131221,False
60058,False
149808,False
154335,True
102752,False
183278,True
53066,False
74562,False
142389,False
184213,False
67740,True
52153,False
90909,False
140465,True
195365,True
44150,True
2845,True
168472,False
175683,False
77500,False
100097,False
78477,True
186625,True
109111,False
104287,False
113722,True
112144,True
79334,True
14986,False
172697,False
110613,True
4117,False
66454,True
38635,False
107785,True
82226,False
90927,True
48221,False
116051,True
4834,False
57838,False
144046,False
173513,True
167201,False
183085,False
130775,False
125127,False
184492,True
178445,False
115367,True
5393,False
154304,False
191602,False
148786,True
87982,True
195338,True
59159,False
114427,True
54649,True
56419,False
151207,False
124335,False
154897,True
160931,False
86511,False
40126,True
158712,False
147667,True
63626,True
188311,False
33795,False
16922,False
75752,False
85781,True
191536,True
131723,True
55061,False
172840,False
44629,False
98544,True
85866,False
104688,False
44064,False
5254,False
54657,False
192476,True
68829,True
142349,False
27495,False
23427,False
79010,False
49714,False
127573,False
36420,False
97690,False
152359,False
148098,True
192460,True
181254,False
156344,True
68249,True
135622,False
60674,False
72888,False
62022,False
98297,False
160841,True
88632,False
45203,True
84985,True
175586,True
134298,False
100818,False
181256,True
79766,True
6980,True
191238,True
189867,True
50380,True
96792,True
132231,True
30028,True
128123,False
195060,False
140157,True
116377,False
133959,True
14584,True
191657,True
95480,False
149933,False
54271,True
116263,True
44066,False
85468,True
33432,False
48956,True
49602,False
96583,True
59108,True
191584,False
124472,True
14664,False
188233,False
154553,True
78353,False
98511,True
78403,True
20115,False
99777,True
8942,True
138184,True
119920,False
69732,False
94414,False
112251,False
104475,True
73768,False
174279,True
68644,False
19915,True
34244,False
163956,False
44165,False
46139,True
127185,False
55510,True
97057,True
167851,True
69526,True
191162,False
18363,True
98963,False
139712,False
27047,True
140819,False
101431,True
150948,True
108751,False
34689,True
18240,True
58747,False
150307,False
68489,True
178302,False
122950,False
107568,True
65847,False
11804,True
156653,False
134894,False
189581,True
119275,False
28434,False
9455,True
80886,False
140725,False
75364,False
119308,False
150929,False
29594,False
134614,False
144527,True
93385,True
111141,False
48074,False
157538,False
147611,False
146071,False
23654,False
188718,True
75702,False
63333,True
41731,False
130958,False
153004,True
94334,False
21458,False
164851,True
112699,True
89405,True
39372,True
171209,False
10812,False
135335,False
134496,False
92954,False
42173,False
158410,False
17511,False
125310,False
195027,False
16336,False
77811,True
20373,True
96091,False
188099,False
127931,False
137442,True
65403,False
162269,False
148886,True
193426,True
8803,False
95629,False
104995,False
161431,False
162113,True
138524,False
168043,True
70965,True
19725,True
154974,True
10376,True
93439,False
142810,True
144111,False
174306,False
177508,False
50649,False
147147,False
96443,True
125402,False
191350,True
33015,False
18883,False
119483,False
86582,True
12090,False
158876,True
105022,False
165483,False
29902,False
34453,False
55018,False
4981,False
73257,True
95610,False
46709,False
163675,False
164996,True
161902,True
4168,False
92851,True
36026,True
35375,True
101280,False
72586,True
193308,False
156030,True
137842,True
191179,False
153685,True
119301,False
184181,True
159866,True
175185,False
62948,False
57533,False
85152,True
62365,True
79825,True
68111,False
9984,True
145573,False
48992,False
102281,False
138089,True
188065,True
178952,True
137167,True
131258,False
148797,False
176834,True
154120,False
131439,False
6942,False
159379,True
55540,False
118271,True
90158,False
43339,False
25365,True
165163,True
54564,False
156723,False
171402,True
130021,True
189228,True
109347,False
47381,True
28878,False
132728,True
147483,False
55871,False
96659,True
1900,False
164137,False
149903,True
81334,False
81505,True
6462,False
121006,False
115837,True
44276,True
56607,True
146408,False
133630,True
128392,True
184228,True
131025,True
65491,True
89286,False
1247,False
67438,False
47141,True
7989,True
2411,False
16359,False
143937,False
80693,False
182235,False
135292,False
129214,True
18718,True
46214,True
153158,False
46973,False
73053,True
58134,False
67989,True
183081,False
80617,False
153964,True
163465,True
160466,True
50810,True
23781,True
195466,False
123762,False
6923,True
116350,False
96850,False
16651,False
57126,False
161155,False
46832,False
114237,False
29537,False
43449,True
154281,False
192598,False
101636,True
24259,False
189481,False
62764,False
166507,False
170436,True
50442,False
28655,False
110129,False
57386,False
78526,False
42805,False
195021,False
133560,False
48327,False
118440,False
54859,False
73492,True
179419,False
135004,False
102084,False
95112,True
47521,False
76991,True
93298,True
60646,True
107218,False
95985,True
175849,True
9684,False
25164,True
193327,False
66473,True
29961,True
97828,True
43228,False
71718,False
162612,False
24030,False
67905,False
34341,True
9796,False
122410,False
165663,False
114924,True
79943,False
977,False
11983,True
46835,True
146464,False
194920,True
187390,False
85118,False
35736,True
27656,False
143983,False
69819,False
8044,False
1570,False
176421,True
37222,False
109505,True
138806,True
156901,True
176908,True
88953,False
107592,False
131977,False
102661,True
112427,True
34727,True
34382,False
194387,False
1517,False
66476,False
128180,True
126681,True
109177,True
127311,True
122154,True
136189,False
179365,True
179767,False
79587,False
77732,True
75586,True
5218,False
122683,False
157268,True
127597,False
106038,False
63650,False
177768,False
160218,False
16239,False
146220,True
72785,False
139618,True
24067,False
44382,True
5667,True
171729,False
76310,False
49616,True
60910,True
154598,False
65448,False
8706,True
43945,False
152125,True
8083,False
46556,True
145679,True
80955,False
131171,True
85025,True
20118,True
57579,False
78266,False
138215,True
71086,False
29906,True
23032,False
72161,False
151068,True
40490,True
53529,True
59811,False
120719,False
77371,True
164872,True
39120,False
160257,True
87034,False
179773,True
10582,False
9437,False
83011,False
65938,False
50383,False
178006,True
44241,False
49323,False
49,False
143705,False
50372,False
189710,True
180554,False
9416,True
36688,True
162126,False
22812,True
87719,False
138866,True
42421,True
195291,True
98607,True
379,False
171866,True
31901,True
183123,True
48070,False
170638,True
12797,False
124934,False
192703,False
66051,True
30416,False
113054,True
165440,True
119495,True
184942,False
120162,True
155003,True
163178,True
135107,True
103142,True
148923,False
53669,False
164422,False
49685,True
142744,True
125887,False
102244,False
169553,False
184878,True
83535,True
37484,False
173931,True
177491,True
124376,False
121021,True
59502,True
122308,False
109440,True
127283,False
40597,False
76585,False
37974,True
70674,False
108008,True
162131,False
39734,True
121620,False
123277,False
154868,False
42847,False
133182,True
69686,True
70936,True
193268,True
98658,True
15286,False
111117,False
127968,False
149877,True
90502,False
59887,True
162015,False
175291,True
190946,True
57659,False
157226,False
183838,False
48766,False
156016,True
66158,False
57900,True
155241,False
85958,True
98935,False
93036,False
55493,True
10616,True
83833,False
136491,False
137792,False
123280,True
68429,False
97423,True
38637,False
144767,True
21441,True
156561,True
86947,False
93850,False
14821,True
72611,False
30999,False
80873,True
157277,True
155707,False
79550,True
157795,False
151398,True
52249,False
135439,False
76688,True
36474,True
75970,True
8655,True
43300,True
126435,True
109911,True
67852,True
49810,True
67876,False
106172,False
52275,True
189676,True
146882,True
192186,False
38441,True
178782,False
107340,True
135244,True
43379,False
128755,True
158803,True
1365,False
4150,False
99472,True
72282,True
70077,False
63075,True
177125,True
172580,False
46412,False
98434,True
147648,False
44128,True
97596,False
159542,True
100035,False
161877,True
69943,False
29959,False
74721,True
105196,False
163421,True
82587,True
45875,False
61517,False
125153,False
154529,False
125758,False
61191,True
21936,False
9553,False
162161,True
170555,False
127348,False
36615,True
47714,False
51004,False
13589,True
38784,True
186563,False
158794,False
95099,False
93849,True
31565,True
33561,True
172275,False
85826,False
110879,True
177009,True
181942,False
103450,True
9328,False
165328,False
138218,True
27099,True
24505,False
177391,True
63533,True
87450,False
175512,False
81628,True
71306,False
100778,True
121207,False
138475,False
34777,True
192301,False
137499,True
29668,False
40522,True
52146,False
103841,False
72662,False
177902,True
149614,False
18791,False
170793,False
133159,False
21139,False
14757,True
134170,True
77071,False
159336,True
89672,True
31969,False
13423,False
178319,False
167795,True
32601,False
165304,True
85865,True
28410,False
115755,False
43269,True
135979,True
172905,True
8888,False
185622,True
132486,False
100163,False
145041,False
116324,False
126206,False
73284,True
27128,True
92134,True
78324,True
149656,True
61738,False
88792,True
166858,False
60524,False
37312,False
2786,False
22290,False
180381,True
107667,True
130959,False
95743,True
186770,False
45642,True
20613,True
93810,False
51091,False
27114,False
84525,False
5627,False
583,False
28963,True
141407,False
100403,True
113130,False
83553,False
170275,False
13664,True
9635,False
38425,True
94806,True
147026,False
97629,False
123893,False
61388,False
107925,False
115769,False
145862,False
90077,False
90032,False
141938,False
112228,False
169000,True
180515,False
128708,False
76256,False
34114,True
10117,False
20662,False
64028,False
187195,False
2837,False
98330,True
78664,False
99199,True
49610,True
64236,True
48039,False
20182,False
44958,True
108735,True
190183,False
60201,False
174818,True
54357,True
169685,False
174553,True
7172,True
88248,False
82715,False
136550,False
23775,False
156912,False
68890,False
157063,True
113876,False
45107,True
100620,True
19432,False
183792,False
47942,False
3226,False
145988,True
110290,False
3574,False
33967,False
5338,False
142574,False
62930,True
192651,False
148425,False
62926,False
113666,False
145628,True
14190,True
180760,True
103485,False
20914,True
22134,True
143514,False
36938,True
19145,False
120451,False
169047,False
147043,False
130683,False
51274,True
88728,True
5727,True
104054,True
146735,False
62589,False
171743,True
54375,False
159505,True
192964,True
100404,True
163276,True
113268,True
4848,False
143464,True
132811,True
33168,False
8472,True
86741,True
106586,True
48897,False
65667,False
83675,True
182297,False
154679,True
24683,True
69955,False
113466,True
179481,True
35860,False
52270,False
162708,False
109743,False
136359,False
12243,True
381,False
118535,True
168674,False
32742,False
112147,False
48834,True
169399,False
189145,False
82201,False
32988,False
113558,False
56552,False
106107,True
140401,True
77839,False
43526,True
146128,True
104470,True
67002,False
80753,False
147618,False
195375,False
30070,True
161475,False
64754,False
147180,True
193488,True
193903,True
135502,False
1304,False
148725,False
194053,True
104086,False
55323,False
91559,False
107456,False
79121,True
3308,False
17445,True
128343,False
147488,True
112863,True
138348,True
134129,False
57832,True
68981,False
62421,True
146995,False
80189,True
120045,False
46573,False
165449,False
21161,True
46820,True
148382,False
187574,False
179273,False
31094,True
86897,False
4586,False
7907,True
135560,False
20729,False
10813,True
733,False
47733,False
171006,False
91535,False
181180,True
32296,True
135561,True
75942,False
151863,False
87191,True
48915,False
180662,True
69922,True
61993,False
176043,False
62892,True
133355,True
33582,False
130450,True
186726,False
175301,True
111825,False
59017,True
142318,True
160633,False
68455,True
147319,True
146147,False
143507,False
140473,False
157756,True
129164,True
182096,True
79421,False
62934,False
54306,False
68078,True
86487,False
125000,False
85323,False
125207,False
166837,False
147245,True
124458,False
58632,True
112831,False
149831,False
70298,False
107173,True
131533,True
141786,False
168995,True
8891,False
91724,False
111286,True
112092,False
156726,False
93971,True
103696,True
60619,False
20251,False
186257,False
36176,False
156333,False
149285,True
182071,False
74216,False
55027,False
186516,False
79479,False
72655,True
58369,True
30473,False
59146,False
83825,False
126988,True
158649,False
100281,False
120189,True
58999,False
154452,False
86000,False
132412,False
120934,False
170633,False
193721,True
100972,True
82797,False
109264,False
83315,False
20315,True
50368,False
160070,False
84312,True
37376,False
134119,False
120245,True
81736,False
57600,False
69781,False
34857,False
96250,True
92709,True
130499,True
85022,True
139470,True
112426,False
63497,True
97864,True
66394,True
92730,False
9622,False
23871,True
115417,True
80107,True
87603,False
94841,False
17964,False
122869,True
176843,False
137152,False
163737,False
147724,True
67862,False
86692,False
110782,False
110896,False
79861,False
83654,True
16048,False
25630,False
42712,False
171920,False
27244,False
190881,True
4192,False
148483,False
191705,True
80044,False
124700,False
59973,False
66647,True
117450,False
184422,False
170686,False
33480,True
88084,True
176927,False
52537,True
97803,False
180681,True
114733,False
124405,False
22813,True
14134,False
82361,False
113630,True
106657,False
1856,False
185641,True
139919,False
3424,False
152990,False
90564,True
82747,True
189233,True
83067,False
187589,False
168068,False
107888,False
36450,False
82266,False
166324,True
152348,True
31555,False
118584,False
114803,True
116910,False
162334,False
140650,False
186451,False
27307,True
70815,True
67577,False
45656,True
82447,False
63558,False
91617,True
60613,True
88657,True
73189,True
91890,False
104574,False
100744,False
170611,True
164463,True
101226,False
65104,False
7357,False
99924,False
144092,True
168893,True
170061,True
17861,False
89031,True
112495,False
53116,True
25416,False
187626,False
4741,False
45333,True
15240,True
5414,True
143002,False
103933,True
148376,False
92074,False
13497,True
4666,False
125835,True
95289,False
33636,True
103062,False
103100,True
75598,False
44056,False
67569,False
140446,True
111856,False
136405,True
165030,False
66958,True
58211,True
155919,False
40686,False
195519,False
3170,False
132827,False
37709,False
130758,True
84627,False
123488,True
93657,True
138732,False
118478,True
81519,False
189613,False
181933,False
10140,True
102404,False
138103,False
23488,False
80125,False
43205,False
174800,True
71589,False
173829,False
162416,False
95832,False
13542,True
127961,False
193476,True
44669,True
161712,False
78227,False
80473,False
60974,True
121905,True
81246,False
10514,False
154809,False
179366,True
106783,False
11155,False
192407,True
188295,False
150956,True
53580,False
188631,False
149523,False
91345,True
170071,True
42487,False
173771,False
89584,False
116379,True
190713,False
4400,False
103411,False
160125,False
115517,True
52506,False
40541,False
36418,False
15764,False
132023,True
90659,True
180063,False
41017,False
102561,True
34657,True
88513,False
125577,False
13273,True
78900,True
92083,False
144042,False
143594,True
85342,False
62073,True
76843,True
44547,False
70743,False
60039,True
149931,True
47304,True
169935,False
53522,False
191750,False
50764,True
13701,True
21430,True
2124,False
13604,False
94069,False
48890,False
161131,True
179891,True
147166,True
52546,True
105889,False
64007,True
191618,False
154090,True
166423,True
103196,False
172747,True
62076,False
186564,False
30379,False
14301,False
27233,False
147019,True
152458,False
107575,True
37724,False
136349,True
139555,False
56541,False
121047,True
27895,True
12924,False
147182,True
23943,True
167059,True
36785,False
156187,False
18635,True
161777,False
14167,True
171016,True
155634,True
58417,True
36070,True
62259,False
52808,False
177405,True
19320,False
144156,False
22227,False
95698,False
175963,False
188927,False
146643,True
103287,False
133876,False
132957,True
107507,True
147458,False
1363,False
134931,True
159801,True
116739,False
90600,False
1300,False
10694,False
149533,True
104443,False
73645,True
123116,True
145078,False
63786,True
9652,True
194668,True
29925,True
122339,True
94000,False
129723,True
160518,True
3680,False
59106,False
136657,True
3932,False
86479,True
182491,False
178578,True
47540,False
138449,False
60353,True
124461,True
146002,False
20568,False
9870,True
34283,False
55376,False
65056,False
143008,False
6078,True
148696,False
124538,False
174072,True
64570,False
109962,False
44442,False
137105,False
94166,False
33827,True
162734,False
78516,True
84559,False
178590,True
78515,True
65213,False
15867,True
169026,True
187581,True
109207,False
140169,False
8702,False
134817,True
15358,True
11609,False
141561,True
111778,False
34685,True
92677,False
160030,False
79150,False
161585,False
154881,False
81676,True
164688,False
3259,False
122239,True
164783,True
92751,False
11273,False
180005,True
11502,True
83061,True
79195,True
92418,True
171727,False
45790,False
174592,True
36145,True
108764,False
28989,False
194431,True
97746,True
96251,True
129301,False
169771,True
114799,True
93069,True
94575,False
184700,False
177538,False
65059,False
185256,False
70916,True
144233,False
191261,False
94724,False
55682,True
177147,False
48619,True
138758,True
170111,False
54305,False
44242,True
22436,False
123045,False
44803,True
83804,True
92731,False
114692,True
78300,True
3019,False
108384,False
70631,False
113010,False
19359,False
25833,False
158499,False
58222,True
31586,False
14795,False
133612,True
63588,False
76694,False
18143,True
107424,True
166555,False
32262,False
112573,False
56806,False
22049,True
176486,False
132294,True
50852,True
88539,False
193938,False
86476,False
43549,True
49382,False
148730,True
154221,False
6132,True
60757,True
15975,False
70703,False
4500,False
165900,False
159698,True
184758,False
138834,True
6772,False
126815,False
148674,False
56719,True
117020,False
190454,True
80994,True
116214,False
187498,True
122897,True
153364,True
49026,True
64495,False
194258,False
133679,False
123662,False
89652,True
41962,True
186017,True
155273,False
155943,False
138063,False
9012,True
61635,True
109461,False
8944,False
157253,True
53517,False
158867,True
135675,False
8117,True
64508,True
96469,False
19986,False
124972,False
125432,False
87043,True
126181,True
440,False
27048,False
108880,False
80,False
126445,True
114036,False
96464,True
166898,True
57699,True
131815,True
163075,False
27975,False
44408,False
14469,False
179628,True
47627,False
3621,False
111090,False
22713,False
165275,True
166428,True
168381,True
133467,False
62597,False
107757,False
123698,True
10819,True
194116,False
156491,False
114310,True
128919,True
161907,True
145849,False
69583,False
131174,False
105770,False
12642,False
143939,False
30544,False
42291,True
142051,False
153732,True
41153,True
27798,True
104635,True
77587,False
36273,False
82712,True
115691,True
127435,True
29854,False
117583,True
56842,True
121177,True
169550,True
118091,True
175755,True
187454,True
29084,True
78662,False
101035,True
108413,False
91708,False
22089,False
172771,False
105182,False
94698,True
17163,False
191563,False
151852,False
132119,False
89204,False
70306,False
193879,True
81071,True
76510,False
80072,True
193204,True
159513,False
154062,False
52989,False
7469,True
126286,False
82053,True
124984,False
10097,False
181266,True
66716,False
19612,True
179902,True
141022,True
145914,False
132388,True
36689,True
60106,False
4186,True
142232,False
64353,True
168352,False
89114,False
21635,False
117386,True
137745,True
39244,False
25776,False
44417,False
154469,True
184171,False
146758,True
26251,True
110575,False
183668,False
120626,False
25876,True
47122,True
112638,True
32588,True
73927,True
71953,True
75196,False
30337,False
89208,False
138515,False
105321,False
90946,False
145143,False
24862,False
58459,True
8562,True
51246,False
56212,False
30555,False
100465,False
82386,True
68724,False
184180,True
62027,True
69942,False
189130,True
182068,False
151554,True
135411,True
178948,True
42062,True
48622,False
137887,False
168961,True
168780,True
166152,False
60605,False
102520,False
11833,False
37486,True
134341,False
86510,True
134105,False
18923,False
12962,True
33023,False
87162,False
79314,False
74154,True
96920,False
160902,True
52601,False
151498,True
19208,False
22468,False
14423,True
61516,False
135389,False
48021,False
187895,True
4393,False
82234,True
116784,False
145557,True
34517,False
104573,False
149763,True
26861,True
50347,True
37383,True
179279,True
138913,False
65604,False
69473,False
133533,False
110132,False
193343,False
106704,False
23744,True
166380,False
47292,True
24840,True
57663,False
58776,True
97735,True
187892,False
184771,True
74083,False
83844,False
46584,True
165814,True
182631,False
25103,False
146104,False
19263,True
83566,False
148776,False
32165,False
146943,True
138383,False
173008,False
186258,False
163173,True
28857,True
16488,False
175197,False
24129,False
39052,False
11485,True
167522,True
184601,False
96981,True
71452,False
44120,False
72473,False
131469,True
139060,False
98860,False
66991,True
163441,False
121717,True
34779,False
92838,False
119092,True
64392,False
195326,False
111107,True
39893,False
50246,False
193999,False
50603,False
30593,False
39477,False
183151,False
153957,False
42307,True
175795,True
156532,False
36011,True
38603,False
130278,True
144510,True
22553,True
47334,False
14536,True
175855,True
82788,True
94532,False
113231,True
23581,False
189047,True
151872,True
168861,False
144481,True
95248,False
89914,True
160343,True
13859,True
89783,False
73309,False
20303,True
8113,True
56038,True
25062,False
154383,False
192453,True
13441,False
40934,False
92408,False
23272,False
60513,False
82790,True
86030,True
135503,True
15516,True
107628,False
74424,True
36680,False
59344,False
13618,True
137828,True
192373,False
174120,True
119382,True
53623,True
93027,False
49856,False
191590,True
182920,True
16726,True
142959,False
7462,False
135485,True
123759,False
129635,True
116580,False
170037,False
94644,True
557,False
193848,True
39319,True
47553,False
118265,False
127910,True
163487,True
162289,False
30608,True
74590,False
62024,True
23358,True
63483,True
155264,False
181745,False
109055,True
26748,True
